Название;Автор;Цена со скидкой;Цена без скидки;Ссылка;Картинка
Антихрупкость. Как извлечь выгоду из хаоса;Нассим Талеб;2124;2874;https://www.bookvoed.ru/product/antihrupkost-kak-izvlec-vygodu-iz-haosa-7691388;ndc.bookvoed.ru/resize/160x208/pim/products/images/d0/79/0192b4e4-8aea-7910-9406-4d623e0fd079.jpg
Мир в капле дождя. Осень. Зима. Хайку на все времена;N/A;2209;2989;https://www.bookvoed.ru/product/mir-v-kaple-dozda-osen-zima-hajku-na-vse-vremena-7691434;ndc.bookvoed.ru/resize/160x208/pim/products/images/f3/dc/0192ba0a-79d7-7bf0-befa-408c1028f3dc.jpg
Ларк-Райз;Флора Томпсон;705;953;https://www.bookvoed.ru/product/lark-rajz-7700899;ndc.bookvoed.ru/resize/160x208/pim/products/images/fb/a5/01933fef-c8cb-7a57-b81e-906f24e9fba5.jpg
Кровавая работа;Майкл Коннелли;254;344;https://www.bookvoed.ru/product/krovavaa-rabota-7702470;ndc.bookvoed.ru/resize/160x208/pim/products/images/85/23/019360c3-b0ec-7cdc-b9f8-005952728523.jpg
Прощай, Эри;Фудзимото Тацуки;912;912;https://www.bookvoed.ru/product/prosaj-eri-7695971;ndc.bookvoed.ru/resize/160x208/pim/products/images/29/ab/0192e863-5eda-7d56-aa9e-3cbbfbbe29ab.jpg
Stray cat agency. Агентство бродячей кошки. Том 1. Манга;N/A;620;838;https://www.bookvoed.ru/product/stray-cat-agency-agentstvo-brodacej-koski-tom-1-7700978;ndc.bookvoed.ru/resize/160x208/pim/products/images/01/45/0193977b-692e-7d61-afbd-d42290cb0145.jpg
Ночь в «Восточном экспрессе»;Вероника Генри;675;759;https://www.bookvoed.ru/product/noc-v-vostocnom-ekspresse-7700979;ndc.bookvoed.ru/resize/160x208/pim/products/images/23/f8/01933ff3-1988-7167-8220-0c2716f723f8.jpg
Человек маркизы;Ян Вайлер;722;976;https://www.bookvoed.ru/product/celovek-markizy-7700986;ndc.bookvoed.ru/resize/160x208/pim/products/images/a0/d9/01933fef-235b-72b3-aa42-483609d5a0d9.jpg
Костры миров;Геннадий Прашкевич;1181;1309;https://www.bookvoed.ru/product/kostry-mirov-7700991;ndc.bookvoed.ru/resize/160x208/pim/products/images/4f/da/01933fef-145f-7bef-86f8-ebe880d54fda.jpg
Записки институтки. Княжна Джаваха;Лидия Чарская;270;329;https://www.bookvoed.ru/product/zapiski-institutki-knazna-dzavaha-7705985;ndc.bookvoed.ru/resize/160x208/pim/products/images/cb/d6/01938f1c-bb23-7e23-89ce-49b217a3cbd6.jpg
Князь Серебряный;Алексей Толстой;270;329;https://www.bookvoed.ru/product/knaz-serebranyj-7705986;ndc.bookvoed.ru/resize/160x208/pim/products/images/a3/cc/01938f1c-be91-7871-9571-06044050a3cc.jpg
Олений колодец;N/A;662;896;https://www.bookvoed.ru/product/olenij-kolodec-7700981;ndc.bookvoed.ru/resize/160x208/pim/products/images/ce/30/01933fef-8eb7-7b28-bb07-e7583b95ce30.jpg
Добро пожаловать в город мёртвых!;Эйблис Карсионе;577;781;https://www.bookvoed.ru/product/dobro-pozalovat-v-gorod-mertvyh-7691405;ndc.bookvoed.ru/resize/160x208/pim/products/images/84/e5/01937036-3c98-7ff4-b2de-3a3b8e7e84e5.jpg
Мне нельзя тебя любить;Мира Ли;577;781;https://www.bookvoed.ru/product/mne-nel-za-teba-lubit-7691437;ndc.bookvoed.ru/resize/160x208/pim/products/images/d8/9e/0192ba0b-0b56-749b-9416-6ae6502cd89e.jpg
