Название;Автор;Цена со скидкой;Цена без скидки;Ссылка;Картинка
Наши за границей. Под южными небесами;Николай Лейкин;263;355;https://www.bookvoed.ru/product/nasi-za-granicej-pod-uznymi-nebesami-7702471;ndc.bookvoed.ru/resize/160x208/pim/products/images/84/58/019360c4-4b75-798c-8a77-43efd8ee8458.jpg
В школе поэтического слова: Пушкин, Лермонтов, Гоголь;Юрий Лотман;263;355;https://www.bookvoed.ru/product/v-skole-poeticeskogo-slova-puskin-lermontov-gogol-7702472;ndc.bookvoed.ru/resize/160x208/pim/products/images/8f/ee/019360c6-9720-79f1-9ea0-27c17b038fee.jpg
На стрессе. 5 шагов к жизни без выгорания и нервных перегрузок (мягкая обложка);Адити Неруркар;592;719;https://www.bookvoed.ru/product/pyat-nastroek-nauka-o-tom-kak-zaprogrammirovat-mozg-i-telo-na-menshiy-stress-i-bolshuyu-ustoychivost-7631164;ndc.bookvoed.ru/resize/160x208/pim/products/images/18/ed/01928e78-2d7c-7e6d-9294-a211e04918ed.jpg
Породы собак Энциклопедия (первая обложка с борзой);Анна Михальская;1614;2184;https://www.bookvoed.ru/product/porody-sobak-7638634;ndc.bookvoed.ru/resize/160x208/pim/products/images/c8/08/0191e97a-a959-74eb-9eeb-d8ae0460c808.jpg
Кафе смерти;Анна Линская;662;896;https://www.bookvoed.ru/product/kafe-smerti-7691419;ndc.bookvoed.ru/resize/160x208/pim/products/images/07/ee/0192b4e4-a830-7ba8-a00c-958773ef07ee.jpg
Разрушитель кораблей;Паоло Бачигалупи;892;1206;https://www.bookvoed.ru/product/razrusitel-korablej-7691485;ndc.bookvoed.ru/resize/160x208/pim/products/images/59/b8/0192ba09-8679-7b4e-8c15-48b7bbf559b8.jpg
Магическая битва. Книга 12. Звезда и нефть. Проклятый плод: возвращение;Гэгэ Акутами;1128;1128;https://www.bookvoed.ru/product/magiceskaa-bitva-kniga-12-zvezda-i-neft-proklatyj-plod-vozvrasenie-7695975;ndc.bookvoed.ru/resize/160x208/pim/products/images/a9/95/0192ea51-8a54-7cc2-a675-cf9f30a5a995.jpg
Чернильная смерть;Корнелия Функе;892;1206;https://www.bookvoed.ru/product/cernil-naa-smert-7700896;ndc.bookvoed.ru/resize/160x208/pim/products/images/c7/e9/01933fef-2db2-7cfd-9f56-5a54e7bcc7e9.jpg
Святочные истории;N/A;289;329;https://www.bookvoed.ru/product/svatocnye-istorii-7700902;ndc.bookvoed.ru/resize/160x208/pim/products/images/b2/13/01933ff0-350f-71d9-bd2f-0f27392ab213.jpg
Долгая ночь;Юля Тихая;722;976;https://www.bookvoed.ru/product/dolgaa-noc-7702454;ndc.bookvoed.ru/resize/160x208/pim/products/images/29/dc/01939ca1-296c-7fc1-b37e-07c1c21f29dc.jpg
Щелкунчик и другие волшебные сказки;Эрнст Гофман;1768;1879;https://www.bookvoed.ru/product/selkuncik-i-drugie-volsebnye-skazki-7702464;ndc.bookvoed.ru/resize/160x208/pim/products/images/27/a5/019360c6-4d5f-70fe-82ac-8db5675327a5.jpg
Повесть о моем друге Игоре;Николай Носов;747;1011;https://www.bookvoed.ru/product/povest-o-moem-druge-igore-7702465;ndc.bookvoed.ru/resize/160x208/pim/products/images/07/72/019360c3-b7b5-7a8d-9448-010d70090772.jpg
Огниво. Официальная новеллизация;Анастасия Булдакова;492;666;https://www.bookvoed.ru/product/ognivo-oficial-naa-novellizacia-7702469;ndc.bookvoed.ru/resize/160x208/pim/products/images/bf/54/019360c3-8ccd-71e9-82e8-257eab18bf54.jpg
«Хочу я света и покоя...»;Варлам Шаламов;675;759;https://www.bookvoed.ru/product/hocu-a-sveta-i-pokoa-7702473;ndc.bookvoed.ru/resize/160x208/pim/products/images/45/ce/019360c3-9e13-7309-9a1a-2010969945ce.jpg
Тайны XIX века. Тайны морей и островов;Кир Булычев;747;1011;https://www.bookvoed.ru/product/tajny-xix-veka-tajny-morej-i-ostrovov-7702474;ndc.bookvoed.ru/resize/160x208/pim/products/images/7c/12/019360c6-9248-7f1c-8434-1d505ffa7c12.jpg
Ужасы Фазбера: 1:35 ночи. Подойди ближе (комплект из 2 книг);Андреа Ваггенер,,Элли Купер,,Скотт Кроутон;1337;1539;https://www.bookvoed.ru/product/komplekt-iz-2-kh-knig-s-plakatom-uzhasy-fazbera-1-35-nochi-podoydi-blizhe--6743011;ndc.bookvoed.ru/resize/160x208/pim/products/images/36/96/018f6140-bc01-7c64-81d7-15eaf3e83696.jpg
Комплект из 2-х книг (Все закончится на нас + Уродливая любовь);Колин Гувер;1337;1539;https://www.bookvoed.ru/product/komplekt-iz-2-kh-knig-vse-zakonchitsya-na-nas-urodlivaya-lyubov-6801120;ndc.bookvoed.ru/resize/160x208/pim/products/images/14/c2/018f6191-aa7d-73c8-b367-2fbbb7b114c2.jpg
Гусары, молчать!;N/A;594;804;https://www.bookvoed.ru/product/gusary-molchat-7092147;ndc.bookvoed.ru/resize/160x208/pim/products/images/24/2f/01931490-d29d-7f0d-bcbe-0b7bb14d242f.jpg
Фигурное катание с Татьяной Волосожар;Татьяна Волосожар;849;1149;https://www.bookvoed.ru/product/figurnoe-katanie-s-tatyanoy-volosozhar-7640571;ndc.bookvoed.ru/resize/160x208/pim/products/images/44/46/0192939d-4877-7502-b251-3f3636194446.jpg
А мне помогло. Как ориентироваться в море информации о здоровье и осознанно принимать решения;Алия Сарманова;1337;1539;https://www.bookvoed.ru/product/a-mne-pomoglo-kak-orientirovat-sa-v-more-informacii-o-zdorov-e-i-osoznanno-prinimat-resenia-7682476;ndc.bookvoed.ru/resize/160x208/pim/products/images/f7/41/01921800-1666-7b12-a2b4-5d4bc76df741.jpg
Как испортить жизнь волшебством;Меган О'Рассел;685;819;https://www.bookvoed.ru/product/kak-isportit-zizn-volsebstvom-7686477;ndc.bookvoed.ru/resize/160x208/pim/products/images/29/5f/019250a4-cfa3-719a-a4a3-1193fcff295f.jpg
Хорошая дочь (формат клатчбук);Карин Слотер;545;649;https://www.bookvoed.ru/product/horoshaya-doch-format-klatchbuk-7687717;ndc.bookvoed.ru/resize/160x208/pim/products/images/25/ea/01926a70-a94e-72f3-9dd6-75849be125ea.jpg
В шаге от выгорания. Сбалансированный план действий, как вырваться из замкнутого круга хронической усталости;Берт те Вильдт,,Тимо Шиле;898;1069;https://www.bookvoed.ru/product/v-sage-ot-vygorania-sbalansirovannyj-plan-dejstvij-kak-vyrvat-sa-iz-zamknutogo-kruga-hroniceskoj-ustalosti-7690617;ndc.bookvoed.ru/resize/160x208/pim/products/images/53/6b/0192939b-afdd-7e14-ad44-cdc453dc536b.jpg
Тайны и загадки. Убийство в Лондоне;Джоан Элиот;662;896;https://www.bookvoed.ru/product/tajny-i-zagadki-ubijstvo-v-londone-7691493;ndc.bookvoed.ru/resize/160x208/pim/products/images/d4/91/0192ac85-04e3-7113-9e90-711d0786d491.jpg
Разрушительная ложь;Ана Хуан;602;722;https://www.bookvoed.ru/product/glavnyy-romanticheskiy-bestseller-goda-7692549;ndc.bookvoed.ru/resize/160x208/pim/products/images/0c/c2/0192ebf5-3a74-7c9b-abf8-4b68b6d50cc2.jpg
Дорога в жизнь;Фрида Вигдорова;705;953;https://www.bookvoed.ru/product/doroga-v-zhizn-7692962;ndc.bookvoed.ru/resize/160x208/pim/products/images/69/d3/0192c20c-8808-7ec6-b504-c55c0f2669d3.jpg
Бюро добрых дел;Елена Ронина;572;699;https://www.bookvoed.ru/product/buro-dobryh-del-7693394;ndc.bookvoed.ru/resize/160x208/pim/products/images/25/13/0192cc71-1685-7541-96e3-e7586a0a2513.jpg
Волшебник Изумрудного города. Три книги в одной;Александр Волков;892;1206;https://www.bookvoed.ru/product/volsebnik-izumrudnogo-goroda-tri-knigi-v-odnoj-7696374;ndc.bookvoed.ru/resize/160x208/pim/products/images/14/9c/0193000f-bf1f-7312-8fbc-e6c74046149c.jpg
Самый богатый человек в Вавилоне. Классическое издание, исправленное и дополненное;Джорж Сэмюэль Клейсон;509;689;https://www.bookvoed.ru/product/samyj-bogatyj-celovek-v-vavilone-klassiceskoe-izdanie-ispravlennoe-i-dopolnennoe-7696426;ndc.bookvoed.ru/resize/160x208/pim/products/images/4a/50/0193000f-88e7-7da0-a2ca-f286e3824a50.jpg
Контакт на случай ЧП;Лорен Лэйн,,Энтони ЛеДонн;665;799;https://www.bookvoed.ru/product/kontakt-na-slucaj-cp-7697135;ndc.bookvoed.ru/resize/160x208/pim/products/images/54/67/0193055a-fb51-742a-8a9d-fea473e75467.jpg
Перевод и локализация: введение в профессию. Основы, советы, практика;Елена Худенко;1057;1259;https://www.bookvoed.ru/product/perevod-i-lokalizacia-vvedenie-v-professiu-osnovy-sovety-praktika-7699038;ndc.bookvoed.ru/resize/160x208/pim/products/images/95/a4/01931ee2-551d-7661-97d1-cf08680f95a4.jpg
Некромантка;Евгения Чащина;1138;1379;https://www.bookvoed.ru/product/nekromantka-7699395;ndc.bookvoed.ru/resize/160x208/pim/products/images/9d/65/019366f3-7ea1-7cd8-83eb-2745f9419d65.jpg
Мальчики и девочки, прославившие Россию. Комплект из 2 книг;Ольга Артемова,,Наталья Артемова;1224;1429;https://www.bookvoed.ru/product/malchiki-i-devochki-proslavivshie-rossiyu-komplekt-iz-2-knig-6819322;ndc.bookvoed.ru/resize/160x208/pim/products/images/86/6a/018f61d1-5c01-7f71-bb8d-7ad5f7a9866a.jpg
Молитвы о здоровье. Самые важные молитвы для защиты всей семьи (новое оформление);N/A;315;379;https://www.bookvoed.ru/product/molitvy-o-zdorove-samye-vazhnye-molitvy-dlya-zashchity-vsey-semi-novoe-oformlenie-6825684;ndc.bookvoed.ru/resize/160x208/pim/products/images/71/b4/019293a3-0171-7ae6-9f1e-1d091bea71b4.jpg
В стране слепых;Майкл Флинн;705;953;https://www.bookvoed.ru/product/v-strane-slepykh-7101949;ndc.bookvoed.ru/resize/160x208/pim/products/images/3b/c1/019112cb-a623-7d94-8895-56fb2b443bc1.jpg
Личный маркетинг. 8 шагов для построения доходного бизнеса на основе собственного бренда;Тодд Херман;679;919;https://www.bookvoed.ru/product/ty-brend-kak-prodemonstrirovat-unikalnyy-opyt-i-postroit-dohodnyy-biznes-7639061;ndc.bookvoed.ru/resize/160x208/pim/products/images/4e/4c/019274b3-612a-78d5-90b5-1dc995194e4c.jpg
Твое имя;Эстер И;594;804;https://www.bookvoed.ru/product/t-i-7639776;ndc.bookvoed.ru/resize/160x208/pim/products/images/71/d4/019250a6-6b7a-7005-925c-9ce9ce3771d4.jpg
Кармилла (с иллюстрациями Антонио Лоренте);Джозеф Ле Фаню;1339;1649;https://www.bookvoed.ru/product/karmilla-s-illustraciami-antonio-lorente-7654367;ndc.bookvoed.ru/resize/160x208/pim/products/images/e0/03/0192bcef-af29-716f-8b24-486da83ee003.jpg
Путешествие оптимистки, или Все бабы дуры;Екатерина Вильмонт;705;953;https://www.bookvoed.ru/product/putesestvie-optimistki-ili-vse-baby-dury-7681962;ndc.bookvoed.ru/resize/160x208/pim/products/images/ee/33/019212e6-16e1-7ab0-bd87-5313e387ee33.jpg
Вступление в будни;Бригита Райман;665;799;https://www.bookvoed.ru/product/vstuplenie-v-budni-7682515;ndc.bookvoed.ru/resize/160x208/pim/products/images/79/80/0192180e-9584-7faf-930b-a388a2337980.jpg
Уголовный кодекс Российской Федерации на 2025 год. QR-коды с судебной практикой в подарок;N/A;199;261;https://www.bookvoed.ru/product/ugolovnyj-kodeks-rossijskoj-federacii-na-2025-god-qr-kody-s-sudebnoj-praktikoj-v-podarok-7683737;ndc.bookvoed.ru/resize/160x208/pim/products/images/b8/f0/0192277a-3b8f-79fd-b564-03a9b869b8f0.jpg
Чосон. Последняя династия Кореи;N/A;1129;1355;https://www.bookvoed.ru/product/choson-istoriya-koreyskoy-imperii-7686096;ndc.bookvoed.ru/resize/160x208/pim/products/images/f0/87/01924b8d-5d5e-7c7f-b653-36d8a6ebf087.jpg
Волна огня;Джеймс Роллинс;592;719;https://www.bookvoed.ru/product/volna-ognya-7686432;ndc.bookvoed.ru/resize/160x208/pim/products/images/43/11/0192a3c9-67e8-7fb0-b354-e9f533464311.jpg
Сепарация: как обрести свободу;Анна Хансен;492;666;https://www.bookvoed.ru/product/separacia-kak-obresti-svobodu-7687108;ndc.bookvoed.ru/resize/160x208/pim/products/images/00/be/01926021-efa7-767f-80d9-2e6859d300be.jpg
Хроники дошкодного возраста;Андрей Колесников;1274;1724;https://www.bookvoed.ru/product/hroniki-doshkodnogo-vozrasta-7689824;ndc.bookvoed.ru/resize/160x208/pim/products/images/ff/fc/01928e8e-006c-7a57-b613-789adc8cfffc.jpg
Нарисованная ведьма. Истории о первой любви;Кристина Стрельникова;382;516;https://www.bookvoed.ru/product/narisovannaa-ved-ma-istorii-o-pervoj-lubvi-7690093;ndc.bookvoed.ru/resize/160x208/pim/products/images/a5/3f/01928e8d-850a-7bb0-8ebe-086054baa53f.jpg
